horizon_month,variable,exog,true
0,base_sales,brand_media,0.0
0,awareness,brand_media,0.18
0,consideration,brand_media,0.08
1,base_sales,brand_media,0.0352
1,awareness,brand_media,0.1156
1,consideration,brand_media,0.0806
2,base_sales,brand_media,0.051696
2,awareness,brand_media,0.077462
2,consideration,brand_media,0.07012
3,base_sales,brand_media,0.05729248
3,awareness,brand_media,0.054117240000000004
3,consideration,brand_media,0.05745522
4,base_sales,brand_media,0.0567974608
4,awareness,brand_media,0.0392900738
4,consideration,brand_media,0.0458980024
5,base_sales,brand_media,0.053124322208
5,awareness,brand_media,0.029494618916
5,consideration,brand_media,0.036357853845999995
6,base_sales,brand_media,0.048002252212320004
6,awareness,brand_media,0.02276077253062
6,consideration,brand_media,0.028816505713039998
7,base_sales,brand_media,0.0424287557433056
7,awareness,brand_media,0.017952616865252402
7,consideration,brand_media,0.0229582101828738
8,base_sales,brand_media,0.036954929877982545
8,awareness,brand_media,0.014399970752765459
8,consideration,brand_media,0.018423909340196984
9,base_sales,brand_media,0.03186365477492496
9,awareness,brand_media,0.011696923827623561
9,consideration,brand_media,0.014900059055458988
10,base_sales,brand_media,0.02727989016579946
10,awareness,brand_media,0.009590278464645805
10,consideration,brand_media,0.012138995970411688
11,base_sales,brand_media,0.023238280757983853
11,awareness,brand_media,0.007916916954890958
11,consideration,brand_media,0.00995396617775346
12,base_sales,brand_media,0.01972411738307056
12,awareness,brand_media,0.006568100858819259
12,consideration,brand_media,0.008207045834845642
13,base_sales,brand_media,0.016697789015332358
13,awareness,brand_media,0.005468780693363751
13,consideration,brand_media,0.006796990442708954
14,base_sales,brand_media,0.014109083798007509
14,awareness,brand_media,0.0045653830027875915
14,consideration,brand_media,0.0056492343491236
15,base_sales,brand_media,0.011905303714861612
15,awareness,brand_media,0.0038184533690848624
15,consideration,brand_media,0.004708342044941631
16,base_sales,brand_media,0.010035650725943732
16,awareness,brand_media,0.0031981233768227767
16,consideration,brand_media,0.0039325566747867345
17,base_sales,brand_media,0.008453398825991821
17,awareness,brand_media,0.002681246863666645
17,consideration,brand_media,0.003289952342010383
18,base_sales,brand_media,0.007116778793301278
18,awareness,brand_media,0.00224954061387343
18,consideration,brand_media,0.0027557452155023577
19,base_sales,brand_media,0.005989137998368909
19,awareness,brand_media,0.0018883413810417081
19,consideration,brand_media,0.00231041609335937
20,base_sales,brand_media,0.005038712787195794
20,awareness,brand_media,0.001585749360832273
20,consideration,brand_media,0.0019383917164811154
21,base_sales,brand_media,0.0042382129533204554
21,awareness,brand_media,0.0013320198288998546
21,consideration,brand_media,0.0016271080856050104
22,base_sales,brand_media,0.0035643336639959236
22,awareness,brand_media,0.001119118345864183
22,consideration,brand_media,0.0013663349752746966
23,base_sales,brand_media,0.002997259317997147
23,awareness,brand_media,0.0009403868063993246
23,consideration,brand_media,0.0011476801179333557
24,base_sales,brand_media,0.002520193380136392
24,awareness,brand_media,0.0007902867917641063
24,consideration,brand_media,0.0009642183343371038
25,base_sales,brand_media,0.0021189303223328832
25,awareness,brand_media,0.0006641983966174207
25,consideration,brand_media,0.000810208859556156
26,base_sales,brand_media,0.0017814754971962712
26,awareness,brand_media,0.0005582599649972529
26,consideration,brand_media,0.0006808760467931957
27,base_sales,brand_media,0.0014977130560121822
27,awareness,brand_media,0.0004692387554977701
27,consideration,brand_media,0.0005722365203773824
28,base_sales,brand_media,0.001259119045079092
28,awareness,brand_media,0.0003944255072280957
28,consideration,brand_media,0.0004809610676039454
29,base_sales,brand_media,0.0010585154408249207
29,awareness,brand_media,0.0003315478201155712
29,consideration,brand_media,0.0004042630273867902
30,base_sales,brand_media,0.0008898604284363744
30,awareness,brand_media,0.0002786985718822397
30,consideration,brand_media,0.00033980725933929366
31,base_sales,brand_media,0.0007480702778599464
31,awareness,brand_media,0.00023427649895577202
31,consideration,brand_media,0.00028563535621187083
32,base_sales,brand_media,0.0006288684795034325
32,awareness,brand_media,0.00019693671105616952
32,consideration,brand_media,0.00024010385251887963
33,base_sales,brand_media,0.0005286582263931063
33,awareness,brand_media,0.0001655493774559407
33,consideration,brand_media,0.00020183294874175968
34,base_sales,brand_media,0.00044441478835105205
34,awareness,brand_media,0.00013916517277942652
34,consideration,brand_media,0.00016966382104257357
35,base_sales,brand_media,0.00037359477247491367
35,awareness,brand_media,0.00011698633759292572
35,consideration,brand_media,0.0001426229905668258
36,base_sales,brand_media,0.00031405968034114854
36,awareness,brand_media,9.834241745970092e-05
36,consideration,brand_media,0.00011989252957041139
